double,,
50,1,0
48,1,0
46,1,0
44,1,0
42,1,0
40,1,0
38,1,0
36,1,0
34,1,0
32,1,0
30,1,0
28,1,0
26,1,0
24,1,0
22,1,0
20,1,0
18,1,0
16,1.000001,0.000001
14,1.000001,0.000001
12,1.000002,0.000002
10,1.000003,0.000003
8,1.000008,0.000008
6,1.000026,0.000026
4,1.000135,0.000135
2,1.00228,0.00228
,,
float,,
50,1,0
48,1,0
46,1,0
44,1,0
42,1,0
40,1,0
38,1,0
36,1,0
34,1,0
32,1,0
30,1,0
28,1,0
26,1,0
24,1,0
22,1,0
20,1,0
18,1,0
16,1.000001,0.000001
14,1.000001,0.000001
12,1.000002,0.000002
10,1.000003,0.000003
8,1.000008,0.000008
6,1.000026,0.000026
4,1.000135,0.000135
2,1.00228,0.00228
